parameter,algo_key,optimisation_calls,likelihood_calls
1,1,40,20421
2,1,18,8681
3,1,37,22921
4,1,43,18566
5,1,19,8063
6,1,33,17405
7,1,35,17325
8,1,33,15398
9,1,31,14919
1,2,22,9896
2,2,10,4651
3,2,26,14926
4,2,22,9075
5,2,41,11912
6,2,22,10581
7,2,26,13506
8,2,26,12152
9,2,27,13255
1,3,22,9599
2,3,10,4590
3,3,23,12695
4,3,22,9077
5,3,40,11364
6,3,22,10733
7,3,29,15215
8,3,30,14690
9,3,23,11241
1,4,30,16283
2,4,8,3376
3,4,25,15215
4,4,31,13100
5,4,14,5382
6,4,23,12478
7,4,20,10680
8,4,19,9257
9,4,19,9457
1,5,27,15364
2,5,9,3791
3,5,28,16867
4,5,35,14885
5,5,14,5638
6,5,20,10479
7,5,20,10828
8,5,18,9039
9,5,20,9844
1,6,40,16482
2,6,20,9875
3,6,20,11472
4,6,44,19423
5,6,28,8073
6,6,42,21130
7,6,32,16066
8,6,32,15053
9,6,32,15114
1,7,26,10726
2,7,11,5005
3,7,25,12910
4,7,22,9570
5,7,27,7913
6,7,34,17422
7,7,19,10284
8,7,22,10861
9,7,22,10607
1,8,21,9925
2,8,9,3623
3,8,20,11055
4,8,24,9858
5,8,15,5728
6,8,21,10924
7,8,21,11341
8,8,23,11354
9,8,21,10175
