θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.71875,0.6819348403513056,0.3514344538041284,0.8649601946041574,10,1,10
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.5357142857142857,0.5052864548183622,0.14460784313725486,0.7677498303770476,10,1,10
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.6734576106338143,0.6481739240560307,0.33269607843137244,0.8574938067712634,10,1,10
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.7946469946844759,0.7773644499792722,0.5871954602191299,0.8956334175084175,10,1,10
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.6808479341004183,0.6728136281887555,0.4805428777324045,0.8353204565408253,10,1,10
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.7802738994430457,0.7689397938615897,0.6075563029793424,0.8884302278603748,10,1,10
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.8759652225169466,0.8555201639009274,0.6854985032334726,0.9565295871919636,20,1,20
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.724313863476425,0.6914823645610769,0.39357789855072456,0.891715367965368,20,1,20
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.8581585316659943,0.8362204718829643,0.6310444138530649,0.9501636876636876,20,1,20
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9073897600277224,0.8991814459860091,0.7957872534488656,0.9649425287356322,20,1,20
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.8310656546957916,0.8191320528561278,0.6730991060271075,0.925635139271503,20,1,20
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9046355942907667,0.8957907689376395,0.7923511467630776,0.958155559174368,20,1,20
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9288247213779128,0.9151683702630939,0.793702169802827,0.9791709889349931,30,1,30
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8296296296296296,0.7957469099978637,0.5716566005176875,0.9256069052328717,30,1,30
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.919096395783747,0.9015456093394657,0.7706637596899225,0.9720411829983618,30,1,30
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9464285714285714,0.9400796932938118,0.8711656441717791,0.9818638931813791,30,1,30
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.8856741128010139,0.8772449709647833,0.7688644688644688,0.9483675385647217,30,1,30
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9416859691488837,0.9354445405045807,0.8698277034125601,0.9747909743242384,30,1,30
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9522860937203567,0.9414243163826289,0.858036307892965,0.9883163698049194,40,1,40
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.8633540372670807,0.8440982693764828,0.6666666666666666,0.9496573097324036,40,1,40
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9411745212264974,0.9288907808869503,0.8288026824533539,0.9830001639209901,40,1,40
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9646279126966304,0.9584593326477393,0.9035460890632211,0.9896933650541898,40,1,40
