iter,θindices,method,num_points,optimisation_calls,likelihood_calls
1,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",10,82,8196
1,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",10,96,9236
1,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",10,88,8745
2,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",29,200,20348
2,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",28,206,19260
2,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",30,204,19983
3,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",49,311,32107
3,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",46,312,29014
3,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",50,315,30582
4,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",68,420,42748
4,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",65,422,39109
4,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",70,421,40405
5,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",85,501,51251
5,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",83,528,49256
5,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",90,515,50174
6,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",105,520,53077
6,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",103,550,51256
6,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",110,534,52102
7,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",125,540,55107
7,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",123,568,52808
7,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",130,552,53654
8,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",145,560,57193
8,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",143,590,55244
8,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",150,573,55896
9,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",165,580,59232
9,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",163,599,55535
9,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",170,594,57973
10,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",185,603,61813
10,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",183,624,57890
10,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",190,611,59787
11,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",205,621,63443
11,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",203,654,60716
11,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",210,633,61696
12,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",225,641,65202
12,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",223,666,62193
12,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",230,654,63914
13,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",245,658,66875
13,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",243,686,64053
13,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",250,673,66026
14,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",265,682,69737
14,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",263,702,65610
14,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",270,696,67877
15,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",285,697,71069
15,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",283,726,67460
15,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",290,713,69895
16,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",305,720,73227
16,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",303,741,68710
16,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",310,733,72041
17,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",325,743,75165
17,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",323,774,72166
17,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",330,749,72411
18,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",345,756,76886
18,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",343,787,72873
18,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",350,781,76346
19,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",365,782,78785
19,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",363,804,74843
19,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",370,792,77663
20,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",385,797,81123
20,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",383,825,75915
20,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",390,815,79848
21,"[1, 2]",Latin Hypercube,22,100,10308
21,"[1, 3]",Latin Hypercube,16,100,9380
