θindices,method_key,num_points,optimisation_calls,likelihood_calls
"[1, 2]",1,10,472,54322
"[1, 3]",1,10,441,41148
"[2, 3]",1,10,204,19903
"[1, 2]",1,20,695,79391
"[1, 3]",1,20,766,69833
"[2, 3]",1,20,431,40730
"[1, 2]",1,30,908,104449
"[1, 3]",1,30,1005,92393
"[2, 3]",1,30,777,75671
"[1, 2]",1,40,1230,140033
"[1, 3]",1,40,1193,111724
"[2, 3]",1,40,1183,115291
"[1, 2]",1,50,1847,208594
"[1, 3]",1,50,1856,172697
"[2, 3]",1,50,1263,121644
"[1, 2]",1,60,1698,190342
"[1, 3]",1,60,1928,177989
"[2, 3]",1,60,1563,149506
"[1, 2]",1,70,1658,184339
"[1, 3]",1,70,2581,235941
"[2, 3]",1,70,1698,165789
"[1, 2]",1,80,2225,247729
"[1, 3]",1,80,2680,245987
"[2, 3]",1,80,1903,182140
"[1, 2]",1,90,2455,276968
"[1, 3]",1,90,3148,290579
"[2, 3]",1,90,2183,209335
"[1, 2]",1,100,3062,347159
"[1, 3]",1,100,3393,309597
"[2, 3]",1,100,2480,238708
"[1, 2]",2,10,111,12018
"[1, 3]",2,10,191,17839
"[2, 3]",2,10,129,12847
"[1, 2]",2,20,356,38388
"[1, 3]",2,20,408,37965
"[2, 3]",2,20,257,25220
"[1, 2]",2,30,426,45902
"[1, 3]",2,30,428,38887
"[2, 3]",2,30,400,38945
"[1, 2]",2,40,725,80432
"[1, 3]",2,40,833,77288
"[2, 3]",2,40,536,53343
"[1, 2]",2,50,791,85425
"[1, 3]",2,50,818,75767
"[2, 3]",2,50,768,73848
"[1, 2]",2,60,939,103866
"[1, 3]",2,60,1079,100452
"[2, 3]",2,60,782,78077
"[1, 2]",2,70,1077,116062
"[1, 3]",2,70,1139,104722
"[2, 3]",2,70,971,93393
"[1, 2]",2,80,1562,174548
"[1, 3]",2,80,1511,138843
"[2, 3]",2,80,993,95301
"[1, 2]",2,90,1531,170319
"[1, 3]",2,90,1627,150939
"[2, 3]",2,90,1280,122636
"[1, 2]",2,100,1853,204509
"[1, 3]",2,100,1707,158126
"[2, 3]",2,100,1362,132583
"[1, 2]",3,10,108,11490
"[1, 3]",3,10,163,15148
"[2, 3]",3,10,116,11215
"[1, 2]",3,20,226,23326
"[1, 3]",3,20,220,20091
"[2, 3]",3,20,294,27410
"[1, 2]",3,30,372,38835
"[1, 3]",3,30,381,34031
"[2, 3]",3,30,402,38886
"[1, 2]",3,40,510,54083
"[1, 3]",3,40,660,61328
"[2, 3]",3,40,535,51354
"[1, 2]",3,50,704,75855
"[1, 3]",3,50,707,65569
"[2, 3]",3,50,606,57843
"[1, 2]",3,60,779,82041
"[1, 3]",3,60,934,86730
"[2, 3]",3,60,822,76960
"[1, 2]",3,70,923,97856
"[1, 3]",3,70,976,88799
"[2, 3]",3,70,894,82498
"[1, 2]",3,80,1199,128547
"[1, 3]",3,80,1225,112016
"[2, 3]",3,80,1003,94788
"[1, 2]",3,90,1215,130368
"[1, 3]",3,90,1432,131521
"[2, 3]",3,90,1149,107030
"[1, 2]",3,100,1411,151281
"[1, 3]",3,100,1346,122983
"[2, 3]",3,100,1376,130594
"[1, 2]",4,10,98,10361
"[1, 3]",4,10,108,10009
"[2, 3]",4,10,109,10145
"[1, 2]",4,20,184,19213
"[1, 3]",4,20,212,19615
"[2, 3]",4,20,215,19378
"[1, 2]",4,30,290,29529
"[1, 3]",4,30,340,31342
"[2, 3]",4,30,315,29874
"[1, 2]",4,40,381,39596
"[1, 3]",4,40,442,40360
"[2, 3]",4,40,429,39953
"[1, 2]",4,50,486,50275
"[1, 3]",4,50,550,50207
"[2, 3]",4,50,537,50292
"[1, 2]",4,60,578,60208
"[1, 3]",4,60,666,60792
"[2, 3]",4,60,641,59607
"[1, 2]",4,70,661,67019
"[1, 3]",4,70,778,71883
"[2, 3]",4,70,752,70984
"[1, 2]",4,80,762,78480
"[1, 3]",4,80,891,82120
"[2, 3]",4,80,853,79388
"[1, 2]",4,90,854,89571
"[1, 3]",4,90,995,91358
"[2, 3]",4,90,960,90454
"[1, 2]",4,100,959,96143
"[1, 3]",4,100,1108,101590
"[2, 3]",4,100,1074,99604
