θindices,method_key,num_points,optimisation_calls,likelihood_calls
"[1, 2]",1,10,356,41386
"[1, 3]",1,10,403,37941
"[2, 3]",1,10,452,43543
"[1, 2]",1,20,1072,129064
"[1, 3]",1,20,1352,122669
"[2, 3]",1,20,817,80401
"[1, 2]",1,30,1487,179645
"[1, 3]",1,30,1881,169035
"[2, 3]",1,30,1065,104122
"[1, 2]",1,40,2548,307077
"[1, 3]",1,40,2799,251446
"[2, 3]",1,40,1929,187744
"[1, 2]",1,50,2912,351445
"[1, 3]",1,50,2664,238642
"[2, 3]",1,50,1753,171501
"[1, 2]",1,60,3666,441513
"[1, 3]",1,60,4026,367953
"[2, 3]",1,60,2312,224375
"[1, 2]",1,70,4125,493670
"[1, 3]",1,70,4795,431888
"[2, 3]",1,70,2590,250343
"[1, 2]",1,80,4620,547667
"[1, 3]",1,80,4561,411675
"[2, 3]",1,80,3238,316501
"[1, 2]",1,90,5380,645737
"[1, 3]",1,90,5995,546103
"[2, 3]",1,90,3895,376836
"[1, 2]",1,100,6152,736445
"[1, 3]",1,100,6611,593586
"[2, 3]",1,100,3989,390960
"[1, 2]",2,10,348,41018
"[1, 3]",2,10,258,23552
"[2, 3]",2,10,280,27797
"[1, 2]",2,20,733,87795
"[1, 3]",2,20,637,56927
"[2, 3]",2,20,396,39099
"[1, 2]",2,30,1204,142670
"[1, 3]",2,30,1191,107751
"[2, 3]",2,30,543,52828
"[1, 2]",2,40,1121,135111
"[1, 3]",2,40,1164,105225
"[2, 3]",2,40,661,65527
"[1, 2]",2,50,1316,154277
"[1, 3]",2,50,1866,168228
"[2, 3]",2,50,1101,108895
"[1, 2]",2,60,2184,258407
"[1, 3]",2,60,2106,192579
"[2, 3]",2,60,1363,133382
"[1, 2]",2,70,1778,207553
"[1, 3]",2,70,2321,208615
"[2, 3]",2,70,1753,171378
"[1, 2]",2,80,2454,289260
"[1, 3]",2,80,2322,208009
"[2, 3]",2,80,1821,177544
"[1, 2]",2,90,2751,325086
"[1, 3]",2,90,3352,303413
"[2, 3]",2,90,2122,207074
"[1, 2]",2,100,2899,339834
"[1, 3]",2,100,3401,307836
"[2, 3]",2,100,2042,202248
"[1, 2]",3,10,153,17302
"[1, 3]",3,10,135,12537
"[2, 3]",3,10,125,11769
"[1, 2]",3,20,223,24135
"[1, 3]",3,20,288,26579
"[2, 3]",3,20,350,33627
"[1, 2]",3,30,389,42541
"[1, 3]",3,30,585,52790
"[2, 3]",3,30,444,42829
"[1, 2]",3,40,664,74641
"[1, 3]",3,40,768,69908
"[2, 3]",3,40,643,62985
"[1, 2]",3,50,952,105814
"[1, 3]",3,50,947,86184
"[2, 3]",3,50,708,68082
"[1, 2]",3,60,1134,128158
"[1, 3]",3,60,1208,107567
"[2, 3]",3,60,920,90204
"[1, 2]",3,70,1225,138217
"[1, 3]",3,70,1542,136297
"[2, 3]",3,70,1030,99226
"[1, 2]",3,80,1364,152859
"[1, 3]",3,80,1744,153800
"[2, 3]",3,80,1288,123852
"[1, 2]",3,90,1527,171586
"[1, 3]",3,90,1631,148196
"[2, 3]",3,90,1724,166343
"[1, 2]",3,100,1534,169396
"[1, 3]",3,100,2040,184439
"[2, 3]",3,100,1306,126527
"[1, 2]",4,10,91,9643
"[1, 3]",4,10,101,9559
"[2, 3]",4,10,95,9097
"[1, 2]",4,20,186,19750
"[1, 3]",4,20,210,18818
"[2, 3]",4,20,209,20708
"[1, 2]",4,30,277,29693
