parameter,find_zero_atol,opt_abstol,optimisation_calls,likelihood_calls
1,0.0,0.0,28,6067
2,0.0,0.0,26,6237
3,0.0,0.0,25,5348
1,0.0,1.0e-20,28,6067
2,0.0,1.0e-20,26,6237
3,0.0,1.0e-20,25,5348
1,0.0,1.0e-19,28,6067
2,0.0,1.0e-19,26,6237
3,0.0,1.0e-19,25,5348
1,0.0,1.0e-18,28,6067
2,0.0,1.0e-18,26,6237
3,0.0,1.0e-18,25,5348
1,0.0,1.0e-17,28,6067
2,0.0,1.0e-17,26,6237
3,0.0,1.0e-17,25,5348
1,0.0,1.0e-16,28,6067
2,0.0,1.0e-16,26,6237
3,0.0,1.0e-16,25,5348
1,0.0,1.0e-15,28,6067
2,0.0,1.0e-15,26,6237
3,0.0,1.0e-15,25,5348
1,0.0,1.0e-14,29,2899
2,0.0,1.0e-14,26,3146
3,0.0,1.0e-14,28,2986
1,0.0,1.0e-13,29,2050
2,0.0,1.0e-13,26,2064
3,0.0,1.0e-13,25,1769
1,0.0,1.0e-12,28,2090
2,0.0,1.0e-12,26,1993
3,0.0,1.0e-12,31,1748
1,0.0,1.0e-11,29,1588
2,0.0,1.0e-11,26,1364
3,0.0,1.0e-11,26,1412
1,0.0,1.0e-10,29,1481
2,0.0,1.0e-10,26,1336
3,0.0,1.0e-10,25,1329
1,0.0,1.0e-9,31,1427
2,0.0,1.0e-9,26,1282
3,0.0,1.0e-9,26,1367
1,0.0,1.0e-8,30,1876
2,0.0,1.0e-8,26,1237
3,0.0,1.0e-8,26,1256
1,0.0,1.0e-7,30,1078
2,0.0,1.0e-7,26,1169
3,0.0,1.0e-7,28,1211
1,0.0,1.0e-6,28,959
2,0.0,1.0e-6,26,1063
3,0.0,1.0e-6,25,1118
1,0.0,1.0e-5,30,1103
2,0.0,1.0e-5,26,1027
3,0.0,1.0e-5,26,1046
1,0.0,0.0001,30,951
2,0.0,0.0001,59,2465
3,0.0,0.0001,26,1034
1,0.0,0.001,44,1300
2,0.0,0.001,44,1102
3,0.0,0.001,39,1128
1,0.0,0.01,37,793
2,0.0,0.01,58,913
3,0.0,0.01,57,1375
1,1.0e-20,0.0,28,6067
2,1.0e-20,0.0,26,6237
3,1.0e-20,0.0,25,5348
1,1.0e-20,1.0e-20,28,6067
2,1.0e-20,1.0e-20,26,6237
3,1.0e-20,1.0e-20,25,5348
1,1.0e-20,1.0e-19,28,6067
2,1.0e-20,1.0e-19,26,6237
3,1.0e-20,1.0e-19,25,5348
1,1.0e-20,1.0e-18,28,6067
2,1.0e-20,1.0e-18,26,6237
3,1.0e-20,1.0e-18,25,5348
1,1.0e-20,1.0e-17,28,6067
2,1.0e-20,1.0e-17,26,6237
3,1.0e-20,1.0e-17,25,5348
1,1.0e-20,1.0e-16,28,6067
2,1.0e-20,1.0e-16,26,6237
3,1.0e-20,1.0e-16,25,5348
1,1.0e-20,1.0e-15,28,6067
2,1.0e-20,1.0e-15,26,6237
3,1.0e-20,1.0e-15,25,5348
1,1.0e-20,1.0e-14,29,2899
2,1.0e-20,1.0e-14,26,3146
3,1.0e-20,1.0e-14,28,2986
1,1.0e-20,1.0e-13,29,2050
2,1.0e-20,1.0e-13,26,2064
3,1.0e-20,1.0e-13,25,1769
1,1.0e-20,1.0e-12,28,2090
2,1.0e-20,1.0e-12,26,1993
3,1.0e-20,1.0e-12,31,1748
1,1.0e-20,1.0e-11,29,1588
2,1.0e-20,1.0e-11,26,1364
3,1.0e-20,1.0e-11,26,1412
1,1.0e-20,1.0e-10,29,1481
2,1.0e-20,1.0e-10,26,1336
3,1.0e-20,1.0e-10,25,1329
1,1.0e-20,1.0e-9,31,1427
2,1.0e-20,1.0e-9,26,1282
3,1.0e-20,1.0e-9,26,1367
1,1.0e-20,1.0e-8,30,1876
2,1.0e-20,1.0e-8,26,1237
3,1.0e-20,1.0e-8,26,1256
1,1.0e-20,1.0e-7,30,1078
