parameter,find_zero_atol,xtol_rel,optimisation_calls,likelihood_calls
1,0.0,0.0,37,7495
2,0.0,0.0,26,6104
3,0.0,0.0,32,6635
1,0.0,1.0e-20,37,3662
2,0.0,1.0e-20,26,2990
3,0.0,1.0e-20,32,2985
1,0.0,1.0e-19,37,3579
2,0.0,1.0e-19,26,2947
3,0.0,1.0e-19,32,2935
1,0.0,1.0e-18,37,3487
2,0.0,1.0e-18,26,2876
3,0.0,1.0e-18,32,2845
1,0.0,1.0e-17,35,3150
2,0.0,1.0e-17,26,2759
3,0.0,1.0e-17,32,2744
1,0.0,1.0e-16,35,2938
2,0.0,1.0e-16,26,2617
3,0.0,1.0e-16,32,2598
1,0.0,1.0e-15,37,2930
2,0.0,1.0e-15,26,2431
3,0.0,1.0e-15,32,2356
1,0.0,1.0e-14,37,2785
2,0.0,1.0e-14,26,2304
3,0.0,1.0e-14,32,2224
1,0.0,1.0e-13,35,2477
2,0.0,1.0e-13,26,2169
3,0.0,1.0e-13,32,2094
1,0.0,1.0e-12,36,2435
2,0.0,1.0e-12,27,2150
3,0.0,1.0e-12,32,1957
1,0.0,1.0e-11,35,2244
2,0.0,1.0e-11,26,1924
3,0.0,1.0e-11,32,1808
1,0.0,1.0e-10,35,2123
2,0.0,1.0e-10,25,1740
3,0.0,1.0e-10,32,1681
1,0.0,1.0e-9,35,1973
2,0.0,1.0e-9,56,3129
3,0.0,1.0e-9,35,1720
1,0.0,1.0e-8,35,1838
2,0.0,1.0e-8,26,1593
3,0.0,1.0e-8,32,1422
1,0.0,1.0e-7,37,1794
2,0.0,1.0e-7,27,1496
3,0.0,1.0e-7,33,1308
1,0.0,1.0e-6,36,1519
2,0.0,1.0e-6,26,1350
3,0.0,1.0e-6,36,1299
1,0.0,1.0e-5,34,1296
2,0.0,1.0e-5,57,2263
3,0.0,1.0e-5,37,1190
1,0.0,0.0001,37,1204
2,0.0,0.0001,55,1990
3,0.0,0.0001,36,1041
1,0.0,0.001,38,1052
2,0.0,0.001,57,1795
3,0.0,0.001,33,845
1,0.0,0.01,34,742
2,0.0,0.01,27,865
3,0.0,0.01,37,785
