θindices,mean_optimisation_calls,mean_likelihood_calls
"[1, 2]",316.92,81978.02
"[1, 3]",327.83,93346.09
"[1, 4]",312.96,103014.77
"[1, 5]",295.49,82879.7
"[1, 6]",270.82,71543.47
"[1, 7]",323.31,73980.48
"[2, 3]",333.63,130005.64
"[2, 4]",291.47,121192.6
"[2, 5]",318.67,126192.75
"[2, 6]",278.44,109153.11
"[2, 7]",301.44,89797.15
"[3, 4]",296.42,125564.85
"[3, 5]",326.29,131806.65
"[3, 6]",261.03,105304.49
"[3, 7]",306.11,99522.14
"[4, 5]",294.23,122296.89
"[4, 6]",237.42,100819.22
"[4, 7]",276.41,77234.37
"[5, 6]",279.97,112689.69
"[5, 7]",333.62,102383.78
"[6, 7]",281.46,90632.26
