θindices,mean_optimisation_calls,mean_likelihood_calls
"[1, 2]",346.68,94334.08
"[1, 3]",366.19,107874.34
"[1, 4]",374.6,121550.77
"[1, 5]",310.03,90281.46
"[1, 6]",306.98,88083.91
"[1, 7]",370.62,89265.93
"[2, 3]",343.39,135428.99
"[2, 4]",314.8,130016.07
"[2, 5]",345.19,139471.6
"[2, 6]",280.14,111143.78
"[2, 7]",318.03,92689.09
"[3, 4]",322.01,137685.18
"[3, 5]",349.56,145736.44
"[3, 6]",278.16,113648.58
"[3, 7]",319.45,105140.26
"[4, 5]",313.9,132821.7
"[4, 6]",247.68,106952.02
"[4, 7]",299.36,87391.57
"[5, 6]",301.12,125411.72
"[5, 7]",355.6,112808.27
"[6, 7]",295.66,92001.38
