θindices,mean_optimisation_calls,mean_likelihood_calls
"[1, 2]",119.49,24596.95
"[1, 3]",123.51,28817.05
"[1, 4]",127.14,32469.45
"[1, 5]",112.13,26308.51
"[1, 6]",109.1,24318.43
"[1, 7]",124.44,22331.81
"[2, 3]",121.36,40857.03
"[2, 4]",105.01,37378.7
"[2, 5]",120.35,40718.07
"[2, 6]",94.42,32300.86
"[2, 7]",110.03,25906.97
"[3, 4]",107.42,39815.43
"[3, 5]",118.5,41638.9
"[3, 6]",97.85,34752.79
"[3, 7]",112.51,30445.4
"[4, 5]",104.49,37922.88
"[4, 6]",81.88,30504.92
"[4, 7]",103.09,24723.25
"[5, 6]",109.32,38557.56
"[5, 7]",114.71,29801.08
"[6, 7]",99.33,25290.4
