θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:α, :β]","[1, 2]",MPPHullMethod(),0.9342627971858322,0.9353531985084156,0.9158097752925339,0.9595888504804313,10,1,10
"[:α, :x0]","[1, 3]",MPPHullMethod(),0.9349237305843839,0.9326138127651525,0.9103115127125019,0.9540828173374614,10,1,10
"[:α, :y0]","[1, 4]",MPPHullMethod(),0.9347897196261683,0.9348244656598169,0.903126244524094,0.9671661671661672,10,1,10
"[:β, :x0]","[2, 3]",MPPHullMethod(),0.9328588374851721,0.9312523958740195,0.9090477560414268,0.9520502328206575,10,1,10
"[:β, :y0]","[2, 4]",MPPHullMethod(),0.932707010115267,0.9324586901556363,0.904445109951228,0.958476368159204,10,1,10
"[:x0, :y0]","[3, 4]",MPPHullMethod(),0.9342375854351903,0.9316889305437389,0.9088462929475587,0.9507829848260548,10,1,10
"[:α, :β]","[1, 2]",ConvexHullMethod(),0.9342627971858322,0.9353531985084156,0.9158097752925339,0.9595888504804313,10,1,10
"[:α, :x0]","[1, 3]",ConvexHullMethod(),0.9349237305843839,0.9326138127651525,0.9103115127125019,0.9540828173374614,10,1,10
"[:α, :y0]","[1, 4]",ConvexHullMethod(),0.9347897196261683,0.9348244656598169,0.903126244524094,0.9671661671661672,10,1,10
"[:β, :x0]","[2, 3]",ConvexHullMethod(),0.9328588374851721,0.9312523958740195,0.9090477560414268,0.9520502328206575,10,1,10
"[:β, :y0]","[2, 4]",ConvexHullMethod(),0.932707010115267,0.9324586901556363,0.904445109951228,0.958476368159204,10,1,10
"[:x0, :y0]","[3, 4]",ConvexHullMethod(),0.9342375854351903,0.9316889305437389,0.9088462929475587,0.9507829848260548,10,1,10
"[:α, :β]","[1, 2]",MPPHullMethod(),0.9833713351297819,0.9831229764522366,0.9725209898365003,0.9954209628968093,20,1,20
"[:α, :x0]","[1, 3]",MPPHullMethod(),0.9840762716162077,0.9835515312300752,0.9707677571113321,0.9938489681050656,20,1,20
"[:α, :y0]","[1, 4]",MPPHullMethod(),0.9844960205117248,0.9834763646774918,0.9628261784511783,1.0,20,1,20
"[:β, :x0]","[2, 3]",MPPHullMethod(),0.9836224960187746,0.98331412857445,0.9724894332890309,0.9939616951074909,20,1,20
"[:β, :y0]","[2, 4]",MPPHullMethod(),0.9841746794871795,0.9833174587770795,0.9673719929375414,0.9931705700397702,20,1,20
"[:x0, :y0]","[3, 4]",MPPHullMethod(),0.9833101207056638,0.983248201643585,0.9710274394062328,0.9928860581431698,20,1,20
"[:α, :β]","[1, 2]",ConvexHullMethod(),0.9833713351297819,0.9831229764522366,0.9725209898365003,0.9954209628968093,20,1,20
"[:α, :x0]","[1, 3]",ConvexHullMethod(),0.9840762716162077,0.9835515312300752,0.9707677571113321,0.9938489681050656,20,1,20
"[:α, :y0]","[1, 4]",ConvexHullMethod(),0.9844960205117248,0.9834763646774918,0.9628261784511783,1.0,20,1,20
"[:β, :x0]","[2, 3]",ConvexHullMethod(),0.9836224960187746,0.98331412857445,0.9724894332890309,0.9939616951074909,20,1,20
"[:β, :y0]","[2, 4]",ConvexHullMethod(),0.9841746794871795,0.9833174587770795,0.9673719929375414,0.9931705700397702,20,1,20
"[:x0, :y0]","[3, 4]",ConvexHullMethod(),0.9833101207056638,0.983248201643585,0.9710274394062328,0.9928860581431698,20,1,20
"[:α, :β]","[1, 2]",MPPHullMethod(),0.9909089030765099,0.9904633359171592,0.9819877431388223,1.0,30,1,30
"[:α, :x0]","[1, 3]",MPPHullMethod(),0.9906542056074766,0.9898562515302929,0.9779109709078163,1.0,30,1,30
"[:α, :y0]","[1, 4]",MPPHullMethod(),0.9891591750396616,0.9894002756778438,0.976216091600707,1.0,30,1,30
"[:β, :x0]","[2, 3]",MPPHullMethod(),0.9905211141060197,0.9904184910174351,0.9839853549756631,0.9968206761391475,30,1,30
"[:β, :y0]","[2, 4]",MPPHullMethod(),0.98989898989899,0.9893466267404629,0.9798754468919386,0.9969700118636289,30,1,30
"[:x0, :y0]","[3, 4]",MPPHullMethod(),0.9900249376558603,0.9898347470657483,0.9817716967405694,0.9959238024455416,30,1,30
"[:α, :β]","[1, 2]",ConvexHullMethod(),0.9909089030765099,0.9904633359171592,0.9819877431388223,1.0,30,1,30
"[:α, :x0]","[1, 3]",ConvexHullMethod(),0.9906542056074766,0.9898562515302929,0.9779109709078163,1.0,30,1,30
"[:α, :y0]","[1, 4]",ConvexHullMethod(),0.9891591750396616,0.9894002756778438,0.976216091600707,1.0,30,1,30
"[:β, :x0]","[2, 3]",ConvexHullMethod(),0.9905211141060197,0.9904184910174351,0.9839853549756631,0.9968206761391475,30,1,30
"[:β, :y0]","[2, 4]",ConvexHullMethod(),0.98989898989899,0.9893466267404629,0.9798754468919386,0.9969700118636289,30,1,30
"[:x0, :y0]","[3, 4]",ConvexHullMethod(),0.9900249376558603,0.9898347470657483,0.9817716967405694,0.9959238024455416,30,1,30
"[:α, :β]","[1, 2]",MPPHullMethod(),0.99620491992165,0.9957227054919674,0.9889695726356842,1.0,40,1,40
"[:α, :x0]","[1, 3]",MPPHullMethod(),0.9962749722530522,0.9942210331403559,0.9841063026730779,1.0,40,1,40
"[:α, :y0]","[1, 4]",MPPHullMethod(),0.9944893126062666,0.9941232379962891,0.9826223971028623,1.0,40,1,40
"[:β, :x0]","[2, 3]",MPPHullMethod(),0.9967636184630854,0.9958578341325431,0.9885941018377279,1.0,40,1,40
"[:β, :y0]","[2, 4]",MPPHullMethod(),0.9960078408873589,0.9950747390871983,0.9887166240687367,1.0,40,1,40
"[:x0, :y0]","[3, 4]",MPPHullMethod(),0.9949173996719236,0.9944033035132187,0.9874356037112515,1.0,40,1,40
"[:α, :β]","[1, 2]",ConvexHullMethod(),0.99620491992165,0.9957227054919674,0.9889695726356842,1.0,40,1,40
"[:α, :x0]","[1, 3]",ConvexHullMethod(),0.9962749722530522,0.9942210331403559,0.9841063026730779,1.0,40,1,40
"[:α, :y0]","[1, 4]",ConvexHullMethod(),0.9944893126062666,0.9941232379962891,0.9826223971028623,1.0,40,1,40
"[:β, :x0]","[2, 3]",ConvexHullMethod(),0.9967636184630854,0.9958578341325431,0.9885941018377279,1.0,40,1,40
"[:β, :y0]","[2, 4]",ConvexHullMethod(),0.9960078408873589,0.9950747390871983,0.9887166240687367,1.0,40,1,40
"[:x0, :y0]","[3, 4]",ConvexHullMethod(),0.9949173996719236,0.9944033035132187,0.9874356037112515,1.0,40,1,40
