θindices,method_key,num_points,optimisation_calls,likelihood_calls
"[1, 2]",1,10,96,23667
"[1, 3]",1,10,92,23960
"[1, 4]",1,10,97,23702
"[2, 3]",1,10,97,24828
"[2, 4]",1,10,99,25650
"[3, 4]",1,10,97,24417
"[1, 2]",1,20,193,48613
"[1, 3]",1,20,183,46330
"[1, 4]",1,20,190,47291
"[2, 3]",1,20,194,49290
"[2, 4]",1,20,199,49711
"[3, 4]",1,20,192,47508
"[1, 2]",1,30,277,69759
"[1, 3]",1,30,265,67004
"[1, 4]",1,30,269,66625
"[2, 3]",1,30,274,69183
"[2, 4]",1,30,281,70835
"[3, 4]",1,30,273,67824
"[1, 2]",1,40,359,90832
"[1, 3]",1,40,342,85706
"[1, 4]",1,40,353,87174
"[2, 3]",1,40,355,88734
"[2, 4]",1,40,360,90540
"[3, 4]",1,40,354,87656
"[1, 2]",1,50,438,110482
"[1, 3]",1,50,424,106251
"[1, 4]",1,50,426,104727
"[2, 3]",1,50,432,108180
"[2, 4]",1,50,438,110127
"[3, 4]",1,50,430,106891
